Molecule, genus
CRW_16S_E_A_104, 1
CRW_16S_E_A_125, 1
CRW_16S_E_A_159, 3
CRW_16S_E_A_160, 3
CRW_16S_E_A_161, 3
CRW_16S_E_A_162, 3
CRW_16S_E_A_163, 3
CRW_16S_E_A_164, 3
CRW_16S_E_A_165, 3
CRW_16S_E_A_166, 3
CRW_16S_E_A_167, 3
CRW_16S_E_A_168, 3
CRW_16S_E_A_169, 3
CRW_16S_E_A_1, 3
CRW_16S_E_A_202, 3
CRW_16S_E_A_219, 3
CRW_16S_E_A_226, 3
CRW_16S_E_A_239, 3
CRW_16S_E_A_25, 3
CRW_16S_E_A_26, 3
CRW_16S_E_A_301, 3
CRW_16S_E_A_306, 3
CRW_16S_E_A_307, 3
CRW_16S_E_A_312, 3
CRW_16S_E_A_313, 3
CRW_16S_E_A_315, 3
CRW_16S_E_A_318, 3
CRW_16S_E_A_319, 1
CRW_16S_E_A_320, 3
CRW_16S_E_A_321, 3
CRW_16S_E_A_322, 3
CRW_16S_E_A_359, 3
CRW_16S_E_A_360, 3
CRW_16S_E_A_362, 3
CRW_16S_E_A_36, 3
CRW_16S_E_A_374, 3
CRW_16S_E_A_382, 3
CRW_16S_E_A_383, 3
CRW_16S_E_A_384, 3
CRW_16S_E_Am_108, 3
CRW_16S_E_Am_134, 3
CRW_16S_E_Am_38, 1
CRW_16S_E_Am_63, 1
CRW_16S_E_C_7, 3
CRW_16S_E_D_233, 3
CRW_16S_E_D_249, 1
CRW_16S_E_E_127, 0
CRW_16S_E_E_14, 3
CRW_16S_E_E_262, 3
CRW_16S_E_E_378, 3
CRW_16S_E_E_379, 3
CRW_16S_E_E_57, 0
CRW_16S_E_E_80, 0
CRW_16S_E_F_106, 1
CRW_16S_E_F_109, 1
CRW_16S_E_F_116, 1
CRW_16S_E_F_122, 1
CRW_16S_E_F_138, 3
CRW_16S_E_F_139, 2
CRW_16S_E_F_140, 2
CRW_16S_E_F_141, 3
CRW_16S_E_F_142, 3
CRW_16S_E_F_143, 3
CRW_16S_E_F_148, 3
CRW_16S_E_F_153, 3
CRW_16S_E_F_170, 3
CRW_16S_E_F_179, 3
CRW_16S_E_F_186, 3
CRW_16S_E_F_188, 3
CRW_16S_E_F_192, 3
CRW_16S_E_F_198, 3
CRW_16S_E_F_199, 3
CRW_16S_E_F_206, 3
CRW_16S_E_F_212, 3
CRW_16S_E_F_213, 3
CRW_16S_E_F_214, 3
CRW_16S_E_F_215, 3
CRW_16S_E_F_217, 3
CRW_16S_E_F_218, 3
CRW_16S_E_F_223, 3
CRW_16S_E_F_227, 3
CRW_16S_E_F_238, 3
CRW_16S_E_F_239, 3
CRW_16S_E_F_240, 3
CRW_16S_E_F_244, 3
CRW_16S_E_F_246, 3
CRW_16S_E_F_247, 3
CRW_16S_E_F_248, 3
CRW_16S_E_F_253, 3
CRW_16S_E_F_256, 3
CRW_16S_E_F_265, 3
CRW_16S_E_F_269, 3
CRW_16S_E_F_270, 3
CRW_16S_E_F_271, 3
CRW_16S_E_F_273, 3
CRW_16S_E_F_274, 3
CRW_16S_E_F_282, 3
CRW_16S_E_F_284, 3
CRW_16S_E_F_285, 3
CRW_16S_E_F_286, 3
CRW_16S_E_F_287, 3
CRW_16S_E_F_288, 3
CRW_16S_E_F_289, 3
CRW_16S_E_F_291, 3
CRW_16S_E_F_292, 3
