Molecule, Pseudoknot Order, Execution Time [ns]
CRW_16S_E_A_104_nH, 1, 9458830
CRW_16S_E_A_125_nH, 1, 11347084
CRW_16S_E_A_159_nH, 1, 21350027
CRW_16S_E_A_160_nH, 1, 20785260
CRW_16S_E_A_161_nH, 1, 25438131
CRW_16S_E_A_162_nH, 1, 17736524
CRW_16S_E_A_163_nH, 1, 24430133
CRW_16S_E_A_164_nH, 1, 17766704
CRW_16S_E_A_165_nH, 1, 21717194
CRW_16S_E_A_166_nH, 1, 18145286
CRW_16S_E_A_167_nH, 1, 19131654
CRW_16S_E_A_168_nH, 1, 17898788
CRW_16S_E_A_169_nH, 1, 20903493
CRW_16S_E_A_1_nH, 1, 17821773
CRW_16S_E_A_202_nH, 1, 20322180
CRW_16S_E_A_219_nH, 1, 17712523
CRW_16S_E_A_226_nH, 1, 20759915
CRW_16S_E_A_239_nH, 1, 18538568
CRW_16S_E_A_25_nH, 1, 18068009
CRW_16S_E_A_26_nH, 1, 17281240
CRW_16S_E_A_301_nH, 1, 25547683
CRW_16S_E_A_306_nH, 1, 18180186
CRW_16S_E_A_307_nH, 1, 19624316
CRW_16S_E_A_312_nH, 1, 20328442
CRW_16S_E_A_313_nH, 1, 18673593
CRW_16S_E_A_315_nH, 1, 22534987
CRW_16S_E_A_318_nH, 1, 18785518
CRW_16S_E_A_319_nH, 1, 10279952
CRW_16S_E_A_320_nH, 1, 18405118
CRW_16S_E_A_321_nH, 1, 20235998
CRW_16S_E_A_322_nH, 1, 18708425
CRW_16S_E_A_359_nH, 1, 17754383
CRW_16S_E_A_360_nH, 1, 18009705
CRW_16S_E_A_362_nH, 1, 22127079
CRW_16S_E_A_36_nH, 1, 18057091
CRW_16S_E_A_374_nH, 1, 19660193
CRW_16S_E_A_382_nH, 1, 17451814
CRW_16S_E_A_383_nH, 1, 20903826
CRW_16S_E_A_384_nH, 1, 17531862
CRW_16S_E_Am_108_nH, 1, 17591377
CRW_16S_E_Am_134_nH, 1, 21106146
CRW_16S_E_Am_38_nH, 1, 11615939
CRW_16S_E_Am_63_nH, 1, 9454546
CRW_16S_E_C_7_nH, 1, 20063979
CRW_16S_E_D_233_nH, 1, 17342910
CRW_16S_E_D_249_nH, 1, 10275602
CRW_16S_E_E_127_nH, 0, 6545275
CRW_16S_E_E_14_nH, 1, 17508564
CRW_16S_E_E_262_nH, 1, 19567540
CRW_16S_E_E_378_nH, 1, 17910250
CRW_16S_E_E_379_nH, 1, 18758960
CRW_16S_E_E_57_nH, 0, 3409173
CRW_16S_E_E_80_nH, 0, 3380570
CRW_16S_E_F_106_nH, 1, 10374398
CRW_16S_E_F_109_nH, 1, 12417393
CRW_16S_E_F_116_nH, 1, 10252153
CRW_16S_E_F_122_nH, 1, 9797451
CRW_16S_E_F_138_nH, 1, 18882708
CRW_16S_E_F_139_nH, 1, 13849859
CRW_16S_E_F_140_nH, 1, 13646995
CRW_16S_E_F_141_nH, 1, 25102789
CRW_16S_E_F_142_nH, 1, 20020195
CRW_16S_E_F_143_nH, 1, 21374996
CRW_16S_E_F_148_nH, 1, 17135716
CRW_16S_E_F_153_nH, 1, 23410271
CRW_16S_E_F_170_nH, 1, 16979373
CRW_16S_E_F_179_nH, 1, 23801034
CRW_16S_E_F_186_nH, 1, 19112840
CRW_16S_E_F_188_nH, 1, 19955128
CRW_16S_E_F_192_nH, 1, 19760427
CRW_16S_E_F_198_nH, 1, 19178513
CRW_16S_E_F_199_nH, 1, 17219005
CRW_16S_E_F_206_nH, 1, 17593140
CRW_16S_E_F_212_nH, 1, 18291489
CRW_16S_E_F_213_nH, 1, 22387646
CRW_16S_E_F_214_nH, 1, 17465285
CRW_16S_E_F_215_nH, 1, 20937756
CRW_16S_E_F_217_nH, 1, 18588216
CRW_16S_E_F_218_nH, 1, 17264552
