Molecule, genus
CRW_16S_B_Ac_106, 4
CRW_16S_B_Ac_108, 4
CRW_16S_B_Ac_109, 4
CRW_16S_B_Ac_10, 3
CRW_16S_B_Ac_110, 4
CRW_16S_B_Ac_111, 4
CRW_16S_B_Ac_112, 4
CRW_16S_B_Ac_113, 4
CRW_16S_B_Ac_114, 4
CRW_16S_B_Ac_126, 4
CRW_16S_B_Ac_145, 4
CRW_16S_B_Ac_163, 4
CRW_16S_B_Ac_164, 4
CRW_16S_B_Ac_165, 4
CRW_16S_B_Ac_166, 4
CRW_16S_B_Ac_167, 4
CRW_16S_B_Ac_169, 4
CRW_16S_B_Ac_170, 4
CRW_16S_B_Ac_171, 4
CRW_16S_B_Ac_173, 4
CRW_16S_B_Ac_174, 4
CRW_16S_B_Ac_178, 4
CRW_16S_B_Ac_179, 4
CRW_16S_B_Ac_180, 4
CRW_16S_B_Ac_181, 4
CRW_16S_B_Ac_182, 4
CRW_16S_B_Ac_183, 4
CRW_16S_B_Ac_184, 4
CRW_16S_B_Ac_186, 4
CRW_16S_B_Ac_187, 4
CRW_16S_B_Ac_188, 4
CRW_16S_B_Ac_189, 4
CRW_16S_B_Ac_190, 4
CRW_16S_B_Ac_191, 4
CRW_16S_B_Ac_193, 4
CRW_16S_B_Ac_194, 4
CRW_16S_B_Ac_195, 4
CRW_16S_B_Ac_196, 4
CRW_16S_B_Ac_197, 4
CRW_16S_B_Ac_199, 4
CRW_16S_B_Ac_200, 4
CRW_16S_B_Ac_201, 4
CRW_16S_B_Ac_202, 4
CRW_16S_B_Ac_203, 4
CRW_16S_B_Ac_204, 4
CRW_16S_B_Ac_205, 4
CRW_16S_B_Ac_206, 4
CRW_16S_B_Ac_207, 4
CRW_16S_B_Ac_3, 4
CRW_16S_B_Ac_55, 4
CRW_16S_B_Ac_75, 4
CRW_16S_B_Aci_1, 4
CRW_16S_B_Aci_92, 4
CRW_16S_B_Aq_8, 3
CRW_16S_B_Aq_9, 4
CRW_16S_B_Ba_135, 4
CRW_16S_B_Ba_17, 4
CRW_16S_B_C_38, 4
CRW_16S_B_C_39, 4
CRW_16S_B_C_40, 4
CRW_16S_B_Ch_136, 4
CRW_16S_B_Chl_210, 4
CRW_16S_B_Cy_107, 3
CRW_16S_B_Cy_134, 4
CRW_16S_B_Cy_208, 3
CRW_16S_B_Cy_46, 4
CRW_16S_B_Cy_7, 4
CRW_16S_B_D_213, 4
CRW_16S_B_D_214, 4
CRW_16S_B_D_215, 4
CRW_16S_B_D_58, 4
CRW_16S_B_D_59, 4
CRW_16S_B_De_57, 4
CRW_16S_B_F_102, 4
CRW_16S_B_F_13, 4
CRW_16S_B_F_14, 3
CRW_16S_B_F_156, 3
CRW_16S_B_F_159, 4
CRW_16S_B_F_15, 3
CRW_16S_B_F_160, 4
CRW_16S_B_F_161, 4
CRW_16S_B_F_162, 4
CRW_16S_B_F_16, 3
CRW_16S_B_F_49, 4
CRW_16S_B_F_52, 4
CRW_16S_B_F_53, 4
CRW_16S_B_F_63, 4
CRW_16S_B_F_64, 4
CRW_16S_B_F_65, 4
CRW_16S_B_F_66, 4
CRW_16S_B_F_73, 4
CRW_16S_B_F_90, 4
CRW_16S_B_F_95, 3
CRW_16S_B_F_96, 4
CRW_16S_B_Fu_158, 4
CRW_16S_B_Fu_76, 4
CRW_16S_B_Fu_77, 4
CRW_16S_B_P_103, 3
CRW_16S_B_P_104, 4
CRW_16S_B_P_105, 4
