Molecule, Pseudoknot Order, Execution Time [ns]
CRW_16S_A_C_19_nH, 1, 27658814
CRW_16S_A_C_1_nH, 1, 20579018
CRW_16S_A_C_20_nH, 1, 23397707
CRW_16S_A_C_21_nH, 1, 20393491
CRW_16S_A_C_25_nH, 1, 23460951
CRW_16S_A_E_10_nH, 1, 19966204
CRW_16S_A_E_11_nH, 1, 25142693
CRW_16S_A_E_13_nH, 1, 21399620
CRW_16S_A_E_14_nH, 1, 26997045
CRW_16S_A_E_15_nH, 1, 19731587
CRW_16S_A_E_16_nH, 1, 21420367
CRW_16S_A_E_17_nH, 1, 22953536
CRW_16S_A_E_18_nH, 1, 21860542
CRW_16S_A_E_23_nH, 1, 19801013
CRW_16S_A_E_24_nH, 1, 23757740
CRW_16S_A_E_2_nH, 1, 24557671
CRW_16S_A_E_3_nH, 1, 28901125
CRW_16S_A_E_4_nH, 1, 26940658
CRW_16S_A_E_5_nH, 1, 26097256
CRW_16S_A_E_6_nH, 1, 17088118
CRW_16S_A_E_7_nH, 1, 24605863
CRW_16S_A_E_8_nH, 1, 21368920
CRW_16S_A_E_9_nH, 1, 23217475
CRW_16S_A_N_12_nH, 1, 20629493
