Molecule 1, Molecule 2, Distance, Execution Time [ns]
ASE_00194.dp, ASE_00204.dp, 63.75, 389916564
ASE_00194.dp, larger-example-1-dbn.dp, 494.75, 370320209
ASE_00194.dp, larger-example-2-dbn.dp, 464.75, 513587854
ASE_00194.dp, larger-example-3-dbn.dp, 494.75, 370773021
ASE_00194.dp, running-example-1-dbn.dp, 493.5, 182983595
ASE_00194.dp, running-example-2-dbn.dp, 515, 147058463
ASE_00194.dp, running-example-mismatch-1-dbn.dp, 517, 165823905
ASE_00194.dp, running-example-mismatch-2-dbn.dp, 533.25, 133810427
ASE_00204.dp, larger-example-1-dbn.dp, 458.25, 428319673
ASE_00204.dp, larger-example-2-dbn.dp, 479.5, 397360789
ASE_00204.dp, larger-example-3-dbn.dp, 458.25, 431373668
ASE_00204.dp, running-example-1-dbn.dp, 476, 157276169
ASE_00204.dp, running-example-2-dbn.dp, 492, 152713341
ASE_00204.dp, running-example-mismatch-1-dbn.dp, 494.25, 157243188
ASE_00204.dp, running-example-mismatch-2-dbn.dp, 507, 309092256
larger-example-1-dbn.dp, larger-example-2-dbn.dp, 62, 108288839
larger-example-1-dbn.dp, larger-example-3-dbn.dp, 2, 86037003
larger-example-1-dbn.dp, running-example-1-dbn.dp, 68.5, 54834491
larger-example-1-dbn.dp, running-example-2-dbn.dp, 70, 52795334
larger-example-1-dbn.dp, running-example-mismatch-1-dbn.dp, 71.75, 58637095
larger-example-1-dbn.dp, running-example-mismatch-2-dbn.dp, 84, 54282011
larger-example-2-dbn.dp, larger-example-3-dbn.dp, 62.25, 116279977
larger-example-2-dbn.dp, running-example-1-dbn.dp, 66.5, 65111676
larger-example-2-dbn.dp, running-example-2-dbn.dp, 70.25, 75021585
larger-example-2-dbn.dp, running-example-mismatch-1-dbn.dp, 67.5, 58092677
larger-example-2-dbn.dp, running-example-mismatch-2-dbn.dp, 76.5, 56902033
larger-example-3-dbn.dp, running-example-1-dbn.dp, 70.5, 59975639
larger-example-3-dbn.dp, running-example-2-dbn.dp, 72, 59881259
larger-example-3-dbn.dp, running-example-mismatch-1-dbn.dp, 71.75, 59006624
larger-example-3-dbn.dp, running-example-mismatch-2-dbn.dp, 84, 57369198
running-example-1-dbn.dp, running-example-2-dbn.dp, 6.5, 52161632
running-example-1-dbn.dp, running-example-mismatch-1-dbn.dp, 26, 46051934
running-example-1-dbn.dp, running-example-mismatch-2-dbn.dp, 24, 49251152
running-example-2-dbn.dp, running-example-mismatch-1-dbn.dp, 20.5, 50041794
running-example-2-dbn.dp, running-example-mismatch-2-dbn.dp, 23, 49152706
running-example-mismatch-1-dbn.dp, running-example-mismatch-2-dbn.dp, 3, 50901379
